Объекты модели - Материалы стен (305),
ID,NAME
2048928,кирпичный
2048929,панельные
2048930,блочные
2048931,деревянные
2048932,Смешанные
2048933,шлакобетонные и шлакоблочные из тепл.бетона и шлакозалив.
2048934,прочие (каркасно-засыпные)
2048935,металлические
2048936,монолитный железобетон
2048937,железобетонный каркас с зеркальным остеклением
2048938,"панели алюминиевые трехслойные типа ""ПТАР"""
2048939,витражи в алюминиевом переплете
2048940,не установлен
2048941,"панели типа ""Сэндвич"""
2048942,пеноблоки
2048943,монолитно-кирпичные
2048944,каркас монолит-ж/б с заполнением пенобет.блоками с утеплител
2048945,не определено
101812166,"Каменные, кирпичные"
101812167,Монолитные
101812168,иное
179624987,архив стэкс
179625080,бетонные
179625081,гипсобетонные
179625082,гипсокартонные
179625083,гипсолитовые
179625084,деревянные брусовые
179625085,деревянные неоштукатуренные
179625086,деревянные оштукатуренные
179625087,деревянный каркас без обшивки
179625088,дощатые
179625089,железобетонные
179625090,из железобетонных сегментов
179625091,из легкобетонных панелей
179625092,из мелких бетонных блоков
179625093,из природного камня
179625094,из прочих материалов
179625095,из унифицированных железобетонных элементов
179625096,каменные
179625097,каменные и бетонные
179625098,каменные и деревянные
179625099,каркасно-засыпные
179625100,каркасно-обшивные
179625101,каркасно-панельные
179625102,кирпичные
179625103,кирпичные облегченные
179625104,крупноблочные
179625105,крупнопанельные
179625106,легкие из местных материалов
179625107,легкобетонные блоки
179625108,легкобетонные блоки с утеплением
179625110,монолитные (бетонные)
179625111,монолитные (ж-б)
179625112,панельного типа несущие
179625113,рубленые
179625114,сборно-щитовые
179625115,смешанные
179625116,стеклопакеты сплошные
179625117,стеклянные
179625118,фибролитовые
179625119,шлакобетонные
222644310,Металлические
261908925,панели керамзитобетонные
374280046,стекло в металлическом каркасе
