ID,NAME,PARENT_ID,LOGIN,Назначение,Форма собственности,Год постройки,Год реконструкции,Серия проекта,Количество этажей,Количество подъездов,Количество квартир,Общая площадь,Общая площадь жилых помещений,Общая площадь нежилых помещений,Строительный объем,Износ объекта (по БТИ),Класс энергоэффективности,Материал стен,Признак аварийности здания,Количество пассажирских лифтов,Количество грузопассажирских лифтов,Очередность уборки кровли,Материал кровли,UNOM,Вид социального объекта,Тип жилищного фонда,Статус МКД,Статус управления МКД,Количество грузовых лифтов,Причина Изменения Статуса МКД,Категория МКД
1500923,"Дом по адресу Красковская ул., д.121А",,WS,,,1956,,2048798,1,2,1,76,76,0,,,,179625102,22728486,0,0,,22289204,49928,,22741963,58761330,,0,,
1500933,"Дом по адресу Байкальская ул., д.18, к.2",,WS,,,2005,,2048798,18,2,148,8266,8220,46,,,,179625111,22728486,2,2,,22289201,64148,,42875644,58761330,45063584,0,,
1500943,"Дом по адресу Перовская ул., д.48",,WS,,,1955,,2048912,4,2,20,1240,1070,170,,,,179625102,22728486,0,0,22289162,22289204,19485,,42875644,58761330,45063584,0,,
1500951,"Дом по адресу Парковая 3-я ул., д.39, к.3",,404070001,,,1960,,2048912,5,3,60,2518,2492,26,,,,179625102,22728486,0,0,22289162,22289201,18533,,42875644,58761330,45063584,0,,
1500954,"Дом по адресу Свободный просп., д.11, к.2",,WS,,,1973,,2048755,9,12,431,21103,21088,15,0,0,,2048929,22728486,12,0,,22289201,22830,,42875644,58761330,45063584,0,,
1500958,"Дом по адресу Кусковская ул., д.23, к.1",,WS,,,1968,,2048912,5,4,64,4133,2697,1436,,,,179625102,22728486,0,0,22289163,22289201,12331,,42875644,58761330,45063584,0,,
1500966,"Дом по адресу Прядильная 3-я ул., д.18А",,404070001,,,1960,,2048912,5,4,80,3645,3385,260,,,,179625102,22728486,0,0,22289163,22289205,21174,,42875644,58761330,45063584,0,,
1500970,"Дом по адресу Кусковская ул., д.25, к.1",,WS,,,1972,,179773920,5,4,80,3404,3404,0,,,,179625102,22728486,0,0,22289163,22289201,12336,,42875644,58761330,45063584,0,,
1501008,"Дом по адресу Открытое шоссе, д.5, к.6",,404010001,,,1961,,2048912,5,4,69,3534,2963,571,0,0,,179625119,22728486,0,0,22289162,22289201,18063,,42875644,58761330,45063584,0,,
1501011,"Дом по адресу Рокоссовского Маршала бульв., д.7, к.4",,404010001,,,1959,,2048912,5,4,70,3527,3041,486,,,,179625090,22728486,0,0,22289162,22289201,21907,,42875644,58761330,45063584,0,,
