Наименование,Источник,Дата создания во внешней системе,Дата закрытия,Округ,Адрес,unom,Дата и время завершения события во
Отсутствие освещения в местах общего пользования,EDC,2022-11-24 13:37:48.000000,2022-11-24 16:34:46.849000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-24 16:34:46.849000
Отсутствие освещения в местах общего пользования,EDC,2022-11-24 16:12:45.000000,2022-11-24 16:34:10.370000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-24 16:34:09.752000
Отсутствие освещения в местах общего пользования,EDC,2022-11-24 16:26:15.000000,2022-11-24 17:08:52.549000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-24 17:08:52.548000
Отсутствие освещения в местах общего пользования,EDC,2022-11-24 16:39:24.000000,2022-11-24 17:09:27.741000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-24 17:09:27.491000
Температура в квартире ниже нормативной,EDC,2022-11-24 16:42:50.000000,2022-11-24 17:09:45.926000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-24 17:09:43.627000
Отсутствие освещения в местах общего пользования,EDC,2022-11-24 16:50:20.000000,2022-11-24 17:59:17.579000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-24 17:59:17.579000
Отсутствие освещения в местах общего пользования,EDC,2022-11-24 17:42:41.000000,2022-11-24 19:50:05.309000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-24 19:50:05.309000
Температура в квартире ниже нормативной,EDC,2022-11-24 19:48:07.000000,2022-11-24 19:57:42.573000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-24 19:57:42.352000
Температура в квартире ниже нормативной,EDC,2022-11-24 20:32:39.000000,2022-11-24 21:14:20.549000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-24 21:14:20.549000
Отсутствие освещения в местах общего пользования,EDC,2022-11-25 09:07:10.000000,2022-11-25 09:48:37.803000,ВАО,"внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 46, корпус 2",4086,2022-11-25 09:48:37.802000
