"№
п/п",Код,Наименование,Наименование объекта общего имущества,Тип работ,Группа работ,Сокращенное наименование работы
1,105,строительный контроль,Строительный контроль,Услуга,Стройконтроль,СК
2,26,"ремонт подъездов, направленный на восстановление их надлежащего состояния и проводимый при выполнении иных работ",Подъезд,Работа,СМР,Подъезд
,26,"ремонт подъездов, направленный на восстановление их надлежащего состояния и проводимый при выполнении иных работ по капитальному ремонту общего имущества в многоквартирном доме",Подъезд,Работа,СМР,Подъезд
3,9,"ремонт фасада (замена оконных блоков, расположенных в помещениях общего пользования в многоквартирном доме)",Фасад(оконные блоки),Работа,СМР,Окна
,9,"замена оконных блоков, расположенных в помещениях общего пользования",Фасад(оконные блоки),Работа,СМР,Окна
4,104,проведение экспертизы проектной документации по объектам культурного наследия федерального значения,проведение экспертизы,Услуга,СМР,проведение экспертизы
5,20,разработка проектной документации,разработка проектной документации,Услуга,СМР,ПСД
6,3,ремонт внутридомовых инженерных систем теплоснабжения (разводящие магистрали),Внутридомовые системы отопления (магистрали),Работа,СМР,ЦО-М
,3,ремонт внутридомовых инженерных систем теплоснабжения (разводящие магистрали),Внутридомовые системы отопления (магистрали),Работа,СМР,ЦО-М
7,5,ремонт внутридомовых инженерных систем водоотведения (канализации) (выпуски и сборные трубопроводы),Внутридомовые системы канализации (магистрали),Работа,СМР,КАН-М
,5,ремонт внутридомовых инженерных систем водоотведения (канализации) (выпуски и сборные трубопроводы),Внутридомовые системы канализации (магистрали),Работа,СМР,КАН-М
8,4,ремонт внутридомовых инженерных систем горячего водоснабжения (разводящие магистрали),Внутридомовые инженерные системы горячего водоснабжения (магистрали),Работа,СМР,ГВС-М
,4,ремонт внутридомовых инженерных систем горячего водоснабжения (разводящие магистрали),Внутридомовые инженерные системы горячего водоснабжения (магистрали),Работа,СМР,ГВС-М
9,4,ремонт внутридомовых инженерных систем холодного водоснабжения (разводящие магистрали),Внутридомовые системы холодного водоснабжения (магистрали),Работа,СМР,ХВС-М
,4,ремонт внутридомовых инженерных систем холодного водоснабжения (разводящие магистрали),Внутридомовые системы холодного водоснабжения (магистрали),Работа,СМР,ХВС-М
10,53,ремонт или замена мусоропровода,Мусоропровод,Работа,СМР,Мусоропровод
,53,ремонт мусоропровода,Мусоропровод,Работа,СМР,Мусоропровод
11,52,ремонт пожарного водопровода,Пожарный водопровод,Работа,СМР,ПВ
,52,ремонт пожарного водопровода,Пожарный водопровод,Работа,СМР,ПВ
12,51,ремонт внутридомовой системы дымоудаления и противопожарной автоматики,Системы дымоудаления,Работа,СМР,ППАиДУ
13,1,ремонт внутридомовых инженерных сетей электроснабжения,Внутридомовые системы электроснабжения,Работа,СМР,ЭС
,1,ремонт внутридомовых инженерных систем электроснабжения,Внутридомовые системы электроснабжения,Работа,СМР,ЭС
14,2,ремонт внутридомовых инженерных систем газоснабжения,Внутридомовые инженерные системы газоснабжения,Работа,СМР,ГАЗ
