ID,NAME,PARENT_ID,LOGIN,COL_1044,COL_1045,COL_1157,COL_1239,COL_4488,COL_4489,COL_4764,COL_4923,COL_20060,COL_20061,COL_20062,COL_20063
3682661,Ремонт кровельного покрытия дома,26352880,migration,,,Крыши,4.80.3,,,1,2015,0,0,,
3682664,Ремонт мусоропроводов,26352883,migration,,,Мусоропровод,5.240.9,,,1,2015,0,0,,
3682666,"Ремонт электрооборудования (эл. щитков, замена АВР (аварийное включение резерва) и др. работы)",26352883,migration,,,Электричество,5.24.16,,,1,2015,0,0,,
3682669,Снятие показаний общедомового прибора учета (если входит в состав общедомового имущества),26352866,migration,,,Счетчики,13.40.2,,,1,2015,0,0,,
3682671,Техническая инвентаризация,26352866,migration,,,Техническое обслуживание,13.40.1,,,1,2015,0,0,,
3682674,Техническое обслуживание светильников дежурного освещения,26352883,migration,,,Техническое обслуживание,5.24.17,,,1,2015,0,0,,
3682676,Техническое обслуживание систем дистанционного снятия показаний индивидуальных приборов учета (водопотребления и электроэнергии),26352866,migration,,,Техническое обслуживание,13.40.3,,,1,2015,0,0,,
3682678,Уборка  мусороприемных камер,26352860,migration,,,Мусоропровод,1.230.1,,,1,2015,0,0,,
3682680,Уборка загрузочных клапанов  мусоропроводов,26352883,migration,,,Мусоропровод,5.240.3,,,1,2015,0,0,,
3682683,Удаление мусора из  мусороприемных камер,26352869,migration,,,Мусоропровод,2.20.1,,,1,2015,0,0,,
3682686,Устранение засора,26352883,migration,,,Мусоропровод,5.240.8,,,1,2015,0,0,,
3682725,Дезинсекция,26352865,migration,,3588894,Санитарное обслуживание,13.2,,,1,2015,0,0,,
3682756,Вывоз и обезвреживание крупногабаритного мусора,26352870,migration,,2048731,Мусор,3.1,,,1,2015,0,0,,
3682770,Замеры сопротивления,26352881,migration,,3588894,Электричество,5.14,,,1,2015,0,0,,
3682781,Проверка изоляции проводов,26352881,migration,,3588894,Электричество,5.13,,,1,2015,0,0,,
3682802,"Проверка наличия тяги в дымоходах, вентиляционных каналах",26352886,migration,,3588898,Электричество,8.1,,,1,2015,0,0,,
3682806,"Замена и восстановление работоспособности внутридомового газового оборудования (газопровода), находящегося в составе общего имущества дома",26352887,migration,,3588894,Электричество,9.2,,,1,2015,0,0,,
3682833,"Расход электроэнергии, потребленной на дежурное освещение мест общего пользования и работу лифтов (общедомовые нужды)",26352862,migration,,,Электричество,11.1,,,1,2015,0,0,,
3589986,Замена элементов наружного водостока,26352876,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588900,Крыши,4.40.3,,,1,2015,0,0,,
3589994,Ремонт освещения,26352876,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588898,Крыши,4.40.6,,,1,2015,0,0,,
3589996,"Усиление элементов деревянной стропильной системы,",26352876,migration,Осмотр 2 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588894,Крыши,4.40.1,,,1,2015,0,0,,
3590001,Восстановление конструкций над балконами верхних этажей,26352878,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588894,"Лестницы, пандусы, крыльцо",4.6.10,,,1,2015,0,0,,
3590008,Восстановление лестничных клеток,26352878,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588894,"Лестницы, пандусы, крыльцо",4.6.12,,,1,2015,0,0,,
3590016,Замена козырьков над входами в подъезды,26352878,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588894,"Лестницы, пандусы, крыльцо",4.60.8,,,1,2015,0,0,,
3590023,Замена лестницы,26352878,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588894,"Лестницы, пандусы, крыльцо",4.60.2,,,1,2015,0,0,,
3590026,Замена лестничных клеток,26352878,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588894,"Лестницы, пандусы, крыльцо",4.6.13,,,1,2015,0,0,,
3590035,Прочистка водоприемной воронки внутреннего металлического водостока от засорения,26352858,migration,В течение 5 суток после обнаружения,3588898,Водосток,1.190.2,,,1,2015,0,0,,
3590043,Заделка швов и трещин,26352875,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588894,Перекрытия,4.30.2,,,1,2015,0,0,,
3589973,Устранение аварии,26352861,migration,Незамедлительное реагирование с момента получения заявки,3588894,Авария,10.1,,,1,2015,0,0,,
3589976,Антисептирование и антиперирование,26352876,migration,Осмотр 2 раз в год. По итогам осмотра работы включаются в план текущего ремонта,2048730,Крыши,4.40.2,,,1,2015,0,0,,
3589979,Восстановление гидроизоляции кровли,26352876,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588894,Крыши,4.40.9,,,1,2015,0,0,,
3589981,Восстановление переходов через трубопроводы,26352876,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588894,Крыши,4.40.7,,,1,2015,0,0,,
3589983,Замена элементов внутреннего водостока,26352876,migration,Устранение по мере обнаружения дефектов,3588898,Крыши,4.40.4,,,1,2015,0,0,,
3589989,Замена элементов парапетных решеток,26352876,migration,Устранение по мере обнаружения дефектов,3588898,Крыши,4.40.5,,,1,2015,0,0,,
3589991,Ремонт вентиляции,26352876,migration,Устранение по мере обнаружения дефектов,3588894,Крыши,4.40.8,,,1,2015,0,0,,
3590003,Восстановление крыльца,26352878,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588894,"Лестницы, пандусы, крыльцо",4.60.5,,,1,2015,0,0,,
3590021,Замена крыльца,26352878,migration,Осмотр 1 раз в год. По итогам осмотра работы включаются в план текущего ремонта,3588894,"Лестницы, пандусы, крыльцо",4.60.6,,,1,2015,0,0,,
3590033,Прочистка внутреннего металлического водостока от засорения,26352858,migration,В течение 5 суток после обнаружения,3588900,Водосток,1.190.1,,,1,2015,0,0,,
